id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
5122717,Rathmines Apt 2,24141249,Elaine,,Dublin City,53.31585,-6.26534,Entire home/apt,75,2,176,2022-09-07,1.98,7,93,33,
5123315,Rathmines Apt 3,24141249,Elaine,,Dublin City,53.31585,-6.26534,Entire home/apt,155,2,134,2022-09-09,1.53,7,153,40,
3797186,Dublin City Centre Apartment,19500578,Luke,,Dublin City,53.34238,-6.23814,Private room,50,4,2,2014-08-11,0.02,1,0,0,
5140160,Cowper 415,24141249,Elaine,,Dublin City,53.31632,-6.26362,Entire home/apt,190,2,109,2022-09-07,1.51,7,202,45,
3801472,Charming and Contemporary meet City,19528151,Woody,,Dublin City,53.33994,-6.22753,Entire home/apt,120,10,1,2015-07-31,0.01,1,0,0,
5140379,Cowper 443,24141249,Elaine,,Dublin City,53.31635,-6.26355,Entire home/apt,190,2,141,2022-09-08,1.53,7,175,54,
3811548,Very central and beautiful location,728305,Sophie,,Dublin City,53.34097,-6.24661,Private room,60,1,13,2016-08-25,0.13,1,0,0,
5152543,Modern Room in Dublin City Centre,22845708,Dmitriy,,Dublin City,53.34956,-6.23756,Private room,64,5,6,2017-04-02,0.07,1,0,0,
3818337,Spacious Private Boutique Apartment,19635824,James,,Dn Laoghaire-Rathdown,53.27766,-6.09981,Entire home/apt,165,3,51,2018-06-25,0.58,1,0,0,
5162413,Rathfarnham Large Room,26700235,Eadaoin (Pronounced A-Deen),,South Dublin,53.29715,-6.28204,Private room,70,3,59,2022-09-08,0.77,1,3,17,
3841286,"great house near city centre, Aviva, 3Arena + more",17290408,Becca,,Dublin City,53.33848,-6.22666,Entire home/apt,171,4,11,2018-03-18,0.14,2,0,0,
3851295,Victorian House in Christchurch (city centre),15176795,Deirdre,,Dublin City,53.34066,-6.27398,Entire home/apt,136,4,34,2022-06-04,0.35,1,0,9,
5166238,Bright Comfortable Double Dublin South.,26721551,Ann,,Dublin City,53.3109,-6.28622,Private room,60,1,86,2022-09-03,0.94,2,12,31,
